,primary_name
0,50 Cent
1,Aamir Khan
2,Aaron Burns
3,Aaron Eckhart
4,Aaron Paul
5,Aaron Ruell
6,Aaron Taylor-Johnson
7,Aasif Mandvi
8,Abdel Ahmed Ghili
9,Abdullrahman Al Gohani
10,Abhishek Bachchan
11,Abraham Benrubi
12,Abraham Clinkscales
13,Abrar Zahoor
14,Adain Bradley
15,Adam Arkin
16,Adam Bakri
17,Adam Baldwin
18,Adam Beach
19,Adam Brody
20,Adam Devine
21,Adam Driver
22,Adam Garcia
23,Adam Herschman
24,Adam Kaufman
25,Adam Lamberg
26,Adamo Dionisi
27,Adam Pascal
28,Adam Rayner
29,Adam Rodriguez
30,Adam Sandler
31,Adam Scott
32,Adam Wingard
33,Adel Karam
34,Aden Young
35,Adewale Akinnuoye-Agbaje
36,Adil Hussain
37,Adrian G. Griffiths
38,Adrian Grenier
39,Adrian Martinez
40,Adrian Pang
41,Adrian Pasdar
42,Adrian Schiller
43,Adrien Brody
44,Affion Crockett
45,Ahmaogak Sweeney
46,Ahmet Rifat Sungar
47,Ahn Nae-sang
48,Aidan Gillen
49,Aidan Quinn
50,Aidan Whytock
51,Ajay Devgn
52,Ajay Naidu
53,Ajith Kumar
54,Akash Thosar
55,Akihiko Hirata
56,Akira Takarada
57,Akira Terao
58,Akkineni Nageshwara Rao
59,Aksel Hennie
60,Akshaye Khanna
61,Akshay Kumar
62,Alain Delon
63,Alain Lathière
64,Alan Alda
65,Alan Arkin
66,Alan Badel
67,Alan Bates
68,Alan Blumenfeld
69,Alan Cumming
70,Alan Ladd
71,Alan Rickman
72,Alan S. Kim
73,Alan Tudyk
74,Alan Young
75,Alastair Galbraith
76,Alastair Sim
77,Albert Brooks
78,Albert Finney
79,Alberto Reyes
80,Albert Tsai
81,Alden Ehrenreich
82,Aldis Hodge
83,Aldo Silvani
84,Alec Baldwin
85,Alec Cawthorne
86,Alec Guinness
87,Aleksandr Baluev
88,Aleksandr Kaydanovskiy
89,Aleksandr Samoylenko
90,Aleksey Guskov
91,Aleksey Serebryakov
92,Alessandro Borghi
93,Alessandro Gassmann
94,Alessandro Nivola
95,Alexander Goodwin
96,Alexander Gould
97,Alexander Ludwig
98,Alexander Morton
99,Alexander Petrov
100,Alexander Polinsky
101,Alexander Skarsgård
102,Alexandre Tharaud
103,Àlex Casanovas
104,Alex Daniels
105,Alex Esmail
106,Alex Fisher
107,Alex Hassell
108,Alexis Denisof
109,Alex Jennings
110,Alex Kendrick
111,Alex MacNicoll
112,Alex McArthur
113,Alex Neustaedter
114,Alex Pettyfer
115,Alex R. Hibbert
116,Alex Rocco
117,Alex Roe
118,Alex Russell
119,Alex Sharp
120,Alex van Warmerdam
121,Alex Veadov
122,Alex Wolff
123,Alfie Allen
124,Alfred Abel
125,Alfred Lynch
126,Alfred Molina
127,Alfredo Castro
128,Algee Smith
129,Ali Çatalbas
130,Ali Fazal
131,Ali Mosaffa
132,Alistair Abell
133,Ali Suliman
134,Allan Edwall
135,Allan Kolman
136,Allen Covert
137,Allen Danziger
138,Allen Payne
139,Al Madrigal
140,Al Pacino
141,Amadu Mamadakov
142,A. Michael Baldwin
143,Amidou
144,Amitabh Bachchan
145,Amit Bimrot
146,Amit Sadh
147,Amjad Khan
148,Amrish Puri
149,Amr Waked
150,Ananda Everingham
151,Anastasios Soulis
152,Anatoli Davydov
153,Anatoliy Solonitsyn
154,Anders Baasmo Christiansen
155,Anders Holm
156,Anders W. Berthelsen
157,André 3000
158,Andreas Lust
159,Andreas Wilson
160,Andreas Wisniewski
