,primary_name
0,Aanand L. Rai
1,Aaron Hann
2,Aaron Moorhead
3,Aaron Schneider
4,Abbas Alibhai Burmawalla
5,Abby Kohn
6,Abel Ferrara
7,Abhinay Deo
8,Abhishek Kapoor
9,Abhishek Varman
10,Adam B. Stein
11,Adam Egypt Mortimer
12,Adam Green
13,Adam Kassen
14,Adam McKay
15,Adam Randall
16,Adam Rifkin
17,Adam Robitel
18,Adam Schindler
19,Adam Shankman
20,Adam Wingard
21,Adesh Prasad
22,Adil El Arbi
23,Aditya Datt
24,Adrian Lyne
25,Adrian Molina
26,Adrienne Shelly
27,Afonso Poyart
28,Agnieszka Holland
29,Agnieszka Wojtowicz-Vosloo
30,Aisling Walsh
31,Ajay Bahl
32,Akarsh Khurana
33,Aki Kaurismäki
34,Akira Kurosawa
35,Akiva Schaffer
36,Alain Darborg
37,Alain Desrochers
38,Alan Clarke
39,Alan J. Pakula
40,Alan Parker
41,Alan Shapiro
42,Alan Taylor
43,Alastair Fothergill
44,Albert Hughes
45,Albert Pyun
46,Alec Berg
47,Alejandro Agresti
48,Alejandro Amenábar
49,Alejandro G. Iñárritu
50,Alejandro Landes
51,Alejandro Monteverde
52,Aleksey Balabanov
53,Aleksey Sidorov
54,Alessandro Carloni
55,Alexander Mackendrick
56,Alexander Payne
57,Alexandre Aja
58,Alex Cox
59,Álex de la Iglesia
60,Alex Garland
61,Alex Kendrick
62,Alex Kurtzman
63,Àlex Pastor
64,Alex Proyas
65,Alfonso Cuarón
66,Alfonso Gomez-Rejon
67,Alfred Hitchcock
68,Alfred Sole
69,Ali Abbasi
70,Ali Abbas Zafar
71,Ali Bilgin
72,Alister Grierson
73,Ali Taner Baltaci
74,Allen Coulter
75,Allen Hughes
76,Alper Caglar
77,Alphonse Puthren
78,Amar Kaushik
79,Amit Masurkar
80,Amma Asante
81,Amol Palekar
82,Amy Berg
83,Amy Heckerling
84,Amy Poehler
85,Anand Gandhi
86,Anand Tucker
87,Andrea Arnold
88,Andrea Berloff
89,André De Toth
90,Andrei Tarkovsky
91,André Øvredal
92,Andrés Wood
93,Andrew Adamson
94,Andrew Bergman
95,Andrew Currie
96,Andrew Davis
97,Andrew Dominik
98,Andrew Douglas
99,Andrew Erwin
100,Andrew Fleming
101,Andrew Haigh
102,Andrew Jay Cohen
103,Andrew Lau
104,Andrew Levitas
105,Andrew Niccol
106,Andrew Stanton
107,Andrew Traucki
108,Andrey Konchalovskiy
109,Andrzej Bartkowiak
110,Andrzej Wajda
111,Andrzej Zulawski
112,Andy Cadiff
113,Andy Fickman
114,Andy Muschietti
115,Andy Serkis
116,Andy Tennant
117,Anees Bazmee
118,Aneesh Chaganty
119,Angela Robinson
120,Ángel Gómez Hernández
121,Angelina Jolie
122,Ang Lee
123,Aniruddha Roy Chowdhury
124,Anna Boden
125,Anne Fletcher
126,Anne Fontaine
127,Anouk Whissell
128,Anthony Byrne
129,Anthony DiBlasi
130,Anthony Drazan
131,Anthony D'Souza
132,Anthony Hemingway
133,Anthony Mann
134,Anthony Minghella
135,Anthony Scott Burns
136,Anthony Stacchi
137,Anthony Waller
138,Antoine Fuqua
139,Anton Corbijn
140,Antonia Bird
141,Antony Hoffman
142,Anubhav Sinha
143,Anurag Basu
144,Anurag Kashyap
145,Anurag Singh
146,Ari Aster
147,Ariel Schulman
148,Ariel Vromen
149,Ari Sandel
150,Aristomenis Tsirbas
151,Arlene Sanford
152,A.R. Murugadoss
153,Arthur Penn
154,Arthur Rosson
155,Asger Leth
156,Asghar Farhadi
157,Ash Brannon
158,Asif Kapadia
159,Atlee Kumar
160,Atom Egoyan
161,Audrey Wells
162,Autumn de Wilde
163,Ava DuVernay
164,Babak Najafi
165,Baltasar Kormákur
166,Banjong Pisanthanakun
167,Baran bo Odar
168,Barbara Kopple
169,Barbet Schroeder
170,Barry Cook
