tconst,original_title,worldwide_lifetime_gross,budget
4972,The Birth of a Nation,16779212,8500000
13257,Häxan,91627228,40000000
16220,The Phantom of the Opera,154649125,70000000
17136,Metropolis,69131860,90000000
19702,Blackmail,2340411,10000000
22958,Grand Hotel,172945750,25000000
23427,Scarface,115695182,35000000
24034,42nd Street,392000694,100000000
24216,King Kong,556906378,207000000
26029,The 39 Steps,5520368,750000
27125,Top Hat,162242684,65000000
27652,Fury,211822697,68000000
29583,Snow White and the Seven Dwarfs,184925486,1499000
30241,Holiday,205850134,85000000
30287,Jezebel,723192705,100000000
31455,The Hunchback of Notre Dame,325338851,100000000
32138,The Wizard of Oz,25407411,2777000
32143,The Women,50007546,16000000
32455,Fantasia,90874570,80000000
32976,Rebecca,538983207,185000000
34167,Sergeant York,16364924,1400000
34248,Suspicion,1308242,25000000
34583,Casablanca,4376287,950000
37008,Laura,20000000,7000000
38559,Gilda,49939757,33000000
38787,Notorious,44420167,20000000
38991,The Stranger,82410456,9000000
40416,Hamlet,4770222,18000000
40662,Oliver Twist,42580321,60000000
40724,Red River,226945087,34000000
41154,Banshun,8618766,6000000
41699,Nora inu,745013115,180000000
41719,Orphée,123276807,25000000
42369,D.O.A.,18090065,2000000
42546,Harvey,54589558,20000000
43456,The Day the Earth Stood Still,233093859,80000000
43949,Quo Vadis,35294470,30000000
44008,Scrooge,325286646,200000000
44672,The Greatest Show on Earth,36000000,4000000
45883,Hondo,896678241,150000000
45888,House of Wax,68766121,40000000
46126,Niagara,232617430,90000000
46303,Shane,178062759,14000000
46359,Stalag 17,335062621,75000000
47034,Gojira,524976069,160000000
47437,Sabrina,53696278,58000000
47522,A Star Is Born,436188866,36000000
47528,La strada,375658750,150000000
47573,Them!,37930465,15000000
48281,The Ladykillers,76665191,35000000
48356,Marty,630162448,108000000
48452,Ordet,352794081,55000000
49261,Giant,23180087,70000000
49408,The King and I,11993021,25000000
50086,3:10 to Yuma,162242684,65000000
50212,The Bridge on the River Kwai,27200000,3000000
50613,Kumonosu-jô,35164920,43000000
51554,Dracula,215862692,40000000
51658,Gigi,85120254,30000000
52357,Vertigo,118686937,4000000
52365,The Vikings,61698899,160000000
52618,Ben-Hur,94061311,100000000
52948,Journey to the Center of the Earth,244232688,60000000
53270,Shadows,245527149,150000000
53580,The Alamo,25819961,107000000
53619,L'avventura,137298489,85000000
54047,The Magnificent Seven,162360636,90000000
54130,La notte,694394724,78000000
54215,Psycho,32041845,806947
54331,Spartacus,1844917,12000000
54387,The Time Machine,123729176,80000000
54407,Le trou,55405035,16000000
54997,The Hustler,157563598,20000000
55614,West Side Story,44063287,6000000
55928,Dr. No,589580482,200000000
56059,Hatari!,42593455,37000000
56193,Lolita,1071255,62000000
56218,The Manchurian Candidate,96105910,80000000
56736,L'eclisse,128799509,40000000
56923,Charade,73279888,48000000
56937,Cleopatra,57777778,44000000
57129,The Haunting,177311151,80000000
57163,Hud,86493046,100000000
57372,The Nutty Professor,273961019,54000000
57413,The Pink Panther,164115897,80000000
57449,The Raven,29699345,26000000
57611,Tystnaden,61404394,32000000
57877,Becket,46357676,30000000
58329,Marnie,60917189,40000000
58331,Mary Poppins,349546142,130000000
58385,My Fair Lady,72632653,17000000
58777,Zulu,236412453,21000000
59017,Cat Ballou,177584879,66000000
59260,Help!,216639112,25000000
59274,The Hill,70009308,15000000
59742,The Sound of Music,159428329,8200000
59825,The Train,50605163,30000000
60086,Alfie,35060882,60000000
60176,Blow-Up,392000694,100000000
60315,Django,426074373,100000000
