Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Distributor,Opening,Budget,Date,Runtime,Genres
1,Avatar,"$2,847,246,203","$760,507,625",26.7%,"$2,086,738,578",73.3%,2009,TwentiethCenturyFox,"$77,025,481","$237,000,000","December16,2009(EMEA,LATAM)",2hr42min,ActionAdventureFantasySci-Fi
2,Avengers: Endgame,"$2,797,501,328","$858,373,000",30.7%,"$1,939,128,328",69.3%,2019,WaltDisneyStudiosMotionPictures,"$357,115,007","$356,000,000","April24,2019(21markets)",3hr1min,ActionAdventureDramaSci-Fi
3,Titanic,"$2,201,647,264","$659,363,944",30%,"$1,542,283,320",70%,1997,ParamountPictures,"$28,638,131","$200,000,000","December19,1997(Domestic)",3hr14min,DramaRomance
4,Star Wars: Episode VII - The Force Awakens,"$2,069,521,700","$936,662,225",45.3%,"$1,132,859,475",54.7%,2015,WaltDisneyStudiosMotionPictures,"$247,966,675","$245,000,000","December16,2015(EMEA,APAC)",2hr18min,ActionAdventureSci-Fi
5,Avengers: Infinity War,"$2,048,359,754","$678,815,482",33.1%,"$1,369,544,272",66.9%,2018,,$0,$0,,,
6,Jurassic World,"$1,670,516,444","$652,385,625",39%,"$1,018,130,819",61%,2015,UniversalPictures,"$208,806,270","$150,000,000","June10,2015(9markets)",2hr4min,ActionAdventureSci-Fi
7,The Lion King,"$1,667,635,327","$543,638,043",32.6%,"$1,123,997,284",67.4%,2019,WaltDisneyStudiosMotionPictures,"$191,770,759","$260,000,000","July11,2019(Australia)",1hr58min,AdventureAnimationDramaFamilyMusical
8,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,WaltDisneyStudiosMotionPictures,"$207,438,708","$220,000,000","April25,2012(APAC,EMEA)",2hr23min,ActionAdventureSci-Fi
9,Furious 7,"$1,515,341,399","$353,007,020",23.3%,"$1,162,334,379",76.7%,2015,UniversalPictures,"$147,187,040","$190,000,000","April1,2015(15markets)",2hr17min,ActionAdventureThriller
10,Frozen II,"$1,450,026,933","$477,373,578",32.9%,"$972,653,355",67.1%,2019,WaltDisneyStudiosMotionPictures,"$130,263,358","$150,000,000","November20,2019(APAC,EMEA)",1hr43min,AdventureAnimationComedyFamilyFantasyMusical
11,Avengers: Age of Ultron,"$1,402,809,540","$459,005,868",32.7%,"$943,803,672",67.3%,2015,WaltDisneyStudiosMotionPictures,"$191,271,109","$250,000,000","April22,2015(EMEA,APAC)",2hr21min,ActionAdventureSci-Fi
12,Black Panther,"$1,347,597,973","$700,426,566",52%,"$647,171,407",48%,2018,,$0,$0,,,
13,Harry Potter and the Deathly Hallows: Part 2,"$1,342,321,665","$381,409,310",28.4%,"$960,912,355",71.6%,2011,,$0,$0,,,
14,Star Wars: Episode VIII - The Last Jedi,"$1,332,698,830","$620,181,382",46.5%,"$712,517,448",53.5%,2017,WaltDisneyStudiosMotionPictures,"$220,009,584","$317,000,000","December13,2017(APAC,EMEA)",2hr32min,ActionAdventureFantasySci-Fi
15,Jurassic World: Fallen Kingdom,"$1,310,466,296","$417,719,760",31.9%,"$892,746,536",68.1%,2018,UniversalPictures,"$148,024,610","$170,000,000","June6,2018(EMEA,APAC)",2hr8min,ActionAdventureSci-Fi
16,Frozen,"$1,281,508,100","$400,953,009",31.3%,"$880,555,091",68.7%,2013,WaltDisneyStudiosMotionPictures,"$243,390","$150,000,000","November22,2013(Domestic)",1hr42min,AdventureAnimationComedyFamilyFantasyMusical
17,Beauty and the Beast,"$1,264,434,525","$504,481,165",39.9%,"$759,953,360",60.1%,2017,WaltDisneyStudiosMotionPictures,"$174,750,616","$160,000,000","March16,2017(24markets)",2hr9min,FamilyFantasyMusicalRomance
18,Incredibles 2,"$1,244,639,527","$608,581,744",48.9%,"$636,057,783",51.1%,2018,,$0,$0,,,
19,The Fate of the Furious,"$1,236,005,118","$226,008,385",18.3%,"$1,009,996,733",81.7%,2017,UniversalPictures,"$98,786,705","$250,000,000","April12,2017(9markets)",2hr16min,ActionAdventureCrimeThriller
20,Iron Man 3,"$1,214,811,252","$409,013,994",33.7%,"$805,797,258",66.3%,2013,WaltDisneyStudiosMotionPictures,"$174,144,585","$200,000,000","April24,2013(APAC,EMEA)",2hr10min,ActionAdventureSci-Fi
21,Minions,"$1,159,444,662","$336,045,770",29%,"$823,398,892",71%,2015,UniversalPictures,"$115,718,405","$74,000,000","April9,2015(Turkey)",1hr31min,AdventureAnimationComedyCrimeFamilySci-Fi
22,Captain America: Civil War,"$1,153,337,496","$408,084,349",35.4%,"$745,253,147",64.6%,2016,WaltDisneyStudiosMotionPictures,"$179,139,142","$250,000,000","April27,2016(EMEA,APAC)",2hr27min,ActionAdventureSci-Fi
23,Aquaman,"$1,148,485,886","$335,061,807",29.2%,"$813,424,079",70.8%,2018,,$0,$0,,,
24,The Lord of the Rings: The Return of the King,"$1,146,030,912","$377,845,905",33%,"$768,185,007",67%,2003,NewLineCinema,"$72,629,713","$94,000,000","December17,2003(21markets)",3hr21min,ActionAdventureDramaFantasy
25,Spider-Man: Far from Home,"$1,131,927,996","$390,532,085",34.5%,"$741,395,911",65.5%,2019,SonyPicturesEntertainment(SPE),"$92,579,212","$160,000,000","June28,2019(APAC,China)",2hr9min,ActionAdventureSci-Fi
26,Captain Marvel,"$1,128,462,972","$426,829,839",37.8%,"$701,633,133",62.2%,2019,WaltDisneyStudiosMotionPictures,"$153,433,423","$160,000,000","March6,2019(APAC,EMEA)",2hr3min,ActionAdventureSci-Fi
27,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543",31.4%,"$771,403,536",68.6%,2011,DreamWorks,"$97,852,865","$195,000,000","June29,2011(28markets)",2hr34min,ActionAdventureSci-Fi
28,Skyfall,"$1,108,569,499","$304,360,277",27.5%,"$804,209,222",72.5%,2012,SonyPicturesEntertainment(SPE),"$88,364,714","$200,000,000","October25,2012(EMEA,APAC)",2hr23min,ActionAdventureThriller
29,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.2%,"$858,614,996",77.8%,2014,ParamountPictures,"$100,038,390","$210,000,000","June25,2014(APAC,EMEA)",2hr45min,ActionAdventureSci-Fi
30,The Dark Knight Rises,"$1,081,142,612","$448,139,099",41.4%,"$633,003,513",58.6%,2012,WarnerBros.,"$160,887,295","$250,000,000","July19,2012(EMEA,APAC)",2hr44min,Action
31,Star Wars: Episode IX - The Rise of Skywalker,"$1,078,232,589","$515,202,542",47.8%,"$563,030,047",52.2%,2019,WaltDisneyStudiosMotionPictures,"$177,383,864","$275,000,000","December18,2019(13markets)",2hr21min,ActionAdventureFantasySci-Fi
32,Joker,"$1,074,419,384","$335,451,311",31.2%,"$738,968,073",68.8%,2019,WarnerBros.,"$96,202,337","$55,000,000","October2,2019(LATAM,APAC)",2hr2min,CrimeDramaThriller
33,Toy Story 4,"$1,073,394,593","$434,038,008",40.4%,"$639,356,585",59.6%,2019,WaltDisneyStudiosMotionPictures,"$120,908,065","$200,000,000","June20,2019(24markets)",1hr40min,AdventureAnimationComedyFamilyFantasy
34,Toy Story 3,"$1,066,970,811","$415,004,880",38.9%,"$651,965,931",61.1%,2010,,$0,$0,,,
35,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747","$423,315,812",39.7%,"$642,863,935",60.3%,2006,WaltDisneyStudiosMotionPictures,"$135,634,554","$225,000,000","July6,2006(APAC)",2hr31min,ActionAdventureFantasy
36,The Lion King,"$1,063,611,805","$422,783,777",39.8%,"$640,828,028",60.2%,1994,WaltDisneyStudiosMotionPictures,"$1,586,753","$45,000,000","June15,1994(Domestic)",1hr28min,AdventureAnimationDramaFamilyMusical
37,Rogue One: A Star Wars Story,"$1,056,057,720","$532,177,324",50.4%,"$523,880,396",49.6%,2016,WaltDisneyStudiosMotionPictures,"$155,081,681","$200,000,000","December14,2016(EMEA)",2hr13min,ActionAdventureSci-Fi
38,Aladdin,"$1,050,693,953","$355,559,216",33.8%,"$695,134,737",66.2%,2019,WaltDisneyStudiosMotionPictures,"$91,500,929","$183,000,000","May22,2019(EMEA,APAC)",2hr8min,ActionAdventureFamilyFantasyMusicalRomance
39,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802","$241,071,802",23%,"$804,642,000",77%,2011,WaltDisneyStudiosMotionPictures,"$90,151,958","$250,000,000","May18,2011(16markets)",2hr17min,ActionAdventureFantasy
40,Despicable Me 3,"$1,034,800,131","$264,624,300",25.6%,"$770,175,831",74.4%,2017,UniversalPictures,"$72,434,025","$80,000,000","June14,2017(Philippines)",1hr29min,AdventureAnimationComedyCrimeFamilySci-Fi
41,Jurassic Park,"$1,033,928,303","$404,214,720",39.1%,"$629,713,583",60.9%,1993,UniversalPictures,"$47,026,828","$63,000,000","June11,1993(Domestic)",2hr7min,ActionAdventureSci-FiThriller
42,Finding Dory,"$1,028,570,942","$486,295,561",47.3%,"$542,275,381",52.7%,2016,,$0,$0,,,
43,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707","$474,544,677",46.2%,"$552,538,030",53.8%,1999,TwentiethCenturyFox,"$64,820,970","$115,000,000","May19,1999(Domestic)",2hr16min,ActionAdventureFantasySci-Fi
44,Alice in Wonderland,"$1,025,468,216","$334,191,110",32.6%,"$691,277,106",67.4%,2010,WaltDisneyStudiosMotionPictures,"$116,101,023","$200,000,000","March3,2010(EMEA)",1hr48min,AdventureFamilyFantasy
45,Zootopia,"$1,024,121,104","$341,268,248",33.3%,"$682,852,856",66.7%,2016,,$0,$0,,,
46,The Hobbit: An Unexpected Journey,"$1,017,003,568","$303,003,568",29.8%,"$714,000,000",70.2%,2012,,$0,$0,,,
47,Harry Potter and the Sorcerer's Stone,"$1,009,281,898","$318,087,620",31.5%,"$691,194,278",68.5%,2001,WarnerBros.,"$90,294,621","$125,000,000","November16,2001(3markets)",2hr32min,AdventureFamilyFantasy
48,The Dark Knight,"$1,005,973,645","$534,858,444",53.2%,"$471,115,201",46.8%,2008,WarnerBros.,"$158,411,483","$185,000,000","July16,2008(APAC)",2hr32min,ActionCrimeDramaThriller
49,Harry Potter and the Deathly Hallows: Part 1,"$977,043,483","$296,347,721",30.3%,"$680,695,762",69.7%,2010,,$0,$0,,,
50,Despicable Me 2,"$970,766,005","$368,065,385",37.9%,"$602,700,620",62.1%,2013,UniversalPictures,"$83,517,315","$76,000,000","June20,2013(Australia)",1hr38min,AdventureAnimationComedyCrimeFamilySci-Fi
51,The Jungle Book,"$966,554,929","$364,001,123",37.7%,"$602,553,806",62.3%,2016,WaltDisneyStudiosMotionPictures,"$103,261,464","$175,000,000","April7,2016(LATAM,APAC)",1hr46min,AdventureAnimationComedyDramaFamilyFantasyMusical
